enum	value_dec	value_hex	name	base
Channel	268435456	0x10000000	SocietyEldWebBroadcast	hex
Channel	536870912	0x20000000	SocietyRadBloBroadcast	hex
Channel	1073741824	0x40000000	Olthoi	hex
Channel	2130737152	0x7F007800	GhostChans	hex
CharGenResponseType	1	0x1	OK	hex
CharGenResponseType	3	0x3	NameInUse	hex
CharGenResponseType	4	0x4	NameBanned	hex
CharGenResponseType	5	0x5	Corrupt	hex
CharGenResponseType	6	0x6	Corrupt_0x0006	hex
CharGenResponseType	7	0x7	AdminPrivilegeDenied	hex
CharacterErrorType	1	0x1	Logon	hex
CharacterErrorType	3	0x3	AccountLogin	hex
CharacterErrorType	4	0x4	ServerCrash	hex
CharacterErrorType	5	0x5	Logoff	hex
CharacterErrorType	6	0x6	Delete	hex
CharacterErrorType	8	0x8	ServerCrash2	hex
CharacterErrorType	9	0x9	AccountInvalid	hex
CharacterErrorType	10	0xA	AccountDoesntExist	hex
CharacterErrorType	11	0xB	EnterGameGeneric	hex
CharacterErrorType	12	0xC	EnterGameStressAccount	hex
CharacterErrorType	13	0xD	EnterGameCharacterInWorld	hex
CharacterErrorType	14	0xE	EnterGamePlayerAccountMissing	hex
CharacterErrorType	15	0xF	EnterGameCharacterNotOwned	hex
CharacterErrorType	16	0x10	EnterGameCharacterInWorldServer	hex
CharacterErrorType	17	0x11	EnterGameOldCharacter	hex
CharacterErrorType	18	0x12	EnterGameCorruptCharacter	hex
CharacterErrorType	19	0x13	EnterGameStartServerDown	hex
CharacterErrorType	20	0x14	EnterGameCouldntPlaceCharacter	hex
CharacterErrorType	21	0x15	LogonServerFull	hex
CharacterErrorType	23	0x17	EnterGameCharacterLocked	hex
CharacterErrorType	24	0x18	SubscriptionExpired	hex
CharacterOptions1	2	0x2	AutoRepeatAttack	hex (mask attr)
CharacterOptions1	4	0x4	IgnoreAllegianceRequests	hex (mask attr)
CharacterOptions1	8	0x8	IgnoreFellowshipRequests	hex (mask attr)
CharacterOptions1	16	0x10	NotUsed2	hex (mask attr)
CharacterOptions1	32	0x20	NotUsed3	hex (mask attr)
CharacterOptions1	64	0x40	AllowGive	hex (mask attr)
CharacterOptions1	128	0x80	ViewCombatTarget	hex (mask attr)
CharacterOptions1	256	0x100	ShowTooltips	hex (mask attr)
CharacterOptions1	512	0x200	UseDeception	hex (mask attr)
CharacterOptions1	1024	0x400	ToggleRun	hex (mask attr)
CharacterOptions1	2048	0x800	StayInChatMode	hex (mask attr)
CharacterOptions1	4096	0x1000	AdvancedCombatUI	hex (mask attr)
CharacterOptions1	8192	0x2000	AutoTarget	hex (mask attr)
CharacterOptions1	16384	0x4000	NotUsed4	hex (mask attr)
CharacterOptions1	32768	0x8000	VividTargetingIndicator	hex (mask attr)
CharacterOptions1	65536	0x10000	DisableMostWeatherEffects	hex (mask attr)
CharacterOptions1	131072	0x20000	IgnoreTradeRequests	hex (mask attr)
CharacterOptions1	262144	0x40000	FellowshipShareXP	hex (mask attr)
CharacterOptions1	524288	0x80000	AcceptLootPermits	hex (mask attr)
CharacterOptions1	1048576	0x100000	FellowshipShareLoot	hex (mask attr)
CharacterOptions1	2097152	0x200000	SideBySideVitals	hex (mask attr)
CharacterOptions1	4194304	0x400000	CoordinatesOnRadar	hex (mask attr)
CharacterOptions1	8388608	0x800000	SpellDuration	hex (mask attr)
CharacterOptions1	16777216	0x1000000	NotUsed5	hex (mask attr)
CharacterOptions1	33554432	0x2000000	DisableHouseRestrictionEffects	hex (mask attr)
CharacterOptions1	67108864	0x4000000	DragItemOnPlayerOpensSecureTrade	hex (mask attr)
CharacterOptions1	134217728	0x8000000	DisplayAllegianceLogonNotifications	hex (mask attr)
CharacterOptions1	268435456	0x10000000	UseChargeAttack	hex (mask attr)
CharacterOptions1	536870912	0x20000000	AutoAcceptFellowRequest	hex (mask attr)
CharacterOptions1	1073741824	0x40000000	HearAllegianceChat	hex (mask attr)
CharacterOptions1	2147483648	0x80000000	UseCraftSuccessDialog	hex (mask attr)
CharacterOptions2	1	0x1	PersistentAtDay	hex (mask attr)
CharacterOptions2	2	0x2	DisplayDateOfBirth	hex (mask attr)
CharacterOptions2	4	0x4	DisplayChessRank	hex (mask attr)
CharacterOptions2	8	0x8	DisplayFishingSkill	hex (mask attr)
CharacterOptions2	16	0x10	DisplayNumberDeaths	hex (mask attr)
CharacterOptions2	32	0x20	DisplayAge	hex (mask attr)
CharacterOptions2	64	0x40	TimeStamp	hex (mask attr)
CharacterOptions2	128	0x80	SalvageMultiple	hex (mask attr)
CharacterOptions2	256	0x100	HearGeneralChat	hex (mask attr)
CharacterOptions2	512	0x200	HearTradeChat	hex (mask attr)
CharacterOptions2	1024	0x400	HearLFGChat	hex (mask attr)
CharacterOptions2	2048	0x800	HearRoleplayChat	hex (mask attr)
CharacterOptions2	4096	0x1000	AppearOffline	hex (mask attr)
CharacterOptions2	8192	0x2000	DisplayNumberCharacterTitles	hex (mask attr)
CharacterOptions2	16384	0x4000	MainPackPreferred	hex (mask attr)
CharacterOptions2	32768	0x8000	LeadMissileTargets	hex (mask attr)
CharacterOptions2	65536	0x10000	UseFastMissiles	hex (mask attr)
CharacterOptions2	131072	0x20000	FilterLanguage	hex (mask attr)
CharacterOptions2	262144	0x40000	ConfirmVolatileRareUse	hex (mask attr)
CharacterOptions2	524288	0x80000	HearSocietyChat	hex (mask attr)
CharacterOptions2	1048576	0x100000	ShowHelm	hex (mask attr)
CharacterOptions2	2097152	0x200000	DisableDistanceFog	hex (mask attr)
CharacterOptions2	4194304	0x400000	UseMouseTurning	hex (mask attr)
CharacterOptions2	8388608	0x800000	ShowCloak	hex (mask attr)
CharacterOptions2	16777216	0x1000000	LockUI	hex (mask attr)
CharacterOptions2	33554432	0x2000000	HearPKDeath	hex (mask attr)
ChatDisplayMask	24	0x18	Tells	hex
ChatDisplayMask	4100	0x1004	AreaChat	hex
ChatDisplayMask	49922	0xC302	Mandatory	hex
ChatDisplayMask	131200	0x20080	Magic	hex
ChatDisplayMask	265216	0x40C00	Allegiance	hex
ChatDisplayMask	524288	0x80000	Fellowship	hex
ChatDisplayMask	6291520	0x600040	Combat	hex
ChatDisplayMask	59842593	0x3912021	Gameplay	hex
ChatDisplayMask	67108864	0x4000000	Errors	hex
ChatDisplayMask	268435456	0x10000000	TradeChannel	hex
ChatDisplayMask	536870912	0x20000000	LFGChannel	hex
ChatDisplayMask	1073741824	0x40000000	RoleplayChannel	hex
ChatFragmentType	0	0x0	Default	hex
ChatFragmentType	2	0x2	Speech	hex
ChatFragmentType	3	0x3	Tell	hex
ChatFragmentType	4	0x4	OutgoingTell	hex
ChatFragmentType	5	0x5	System	hex
ChatFragmentType	6	0x6	Combat	hex
ChatFragmentType	7	0x7	Magic	hex
ChatFragmentType	8	0x8	Channels	hex
ChatFragmentType	9	0x9	OutgoingChannel	hex
ChatFragmentType	10	0xA	Social	hex
ChatFragmentType	11	0xB	OutgoingSocial	hex
ChatFragmentType	12	0xC	Emote	hex
ChatFragmentType	13	0xD	Advancement	hex
ChatFragmentType	14	0xE	Abuse	hex
ChatFragmentType	15	0xF	Help	hex
ChatFragmentType	16	0x10	Appraisal	hex
ChatFragmentType	17	0x11	Spellcasting	hex
ChatFragmentType	18	0x12	Allegiance	hex
ChatFragmentType	19	0x13	Fellowship	hex
ChatFragmentType	20	0x14	WorldBroadcast	hex
ChatFragmentType	21	0x15	CombatEnemy	hex
ChatFragmentType	22	0x16	CombatSelf	hex
ChatFragmentType	23	0x17	Recall	hex
ChatFragmentType	24	0x18	Craft	hex
ChatFragmentType	25	0x19	Salvaging	hex
ChatFragmentType	31	0x1F	AdminTell	hex
ChatType	0	0x0	Undef	hex
ChatType	1	0x1	Allegiance	hex
ChatType	2	0x2	General	hex
ChatType	3	0x3	Trade	hex
ChatType	4	0x4	LFG	hex
ChatType	5	0x5	Roleplay	hex
ChatType	6	0x6	Society	hex
ChatType	7	0x7	SocietyCelHan	hex
ChatType	8	0x8	SocietyEldWeb	hex
ChatType	9	0x9	SocietyRadBlo	hex
ChatType	10	0xA	Olthoi	hex
ChessMoveResult	-272	0x-110	FailureCastlePieceMoved	hex (power-of-two)
ChessMoveResult	-265	0x-109	FailureCastleThroughCheck	hex (power-of-two)
ChessMoveResult	-264	0x-108	FailureCastleOutOfCheck	hex (power-of-two)
ChessMoveResult	-263	0x-107	FailurePathBlocked	hex (power-of-two)
ChessMoveResult	-262	0x-106	FailureCannotMoveIntoCheck	hex (power-of-two)
ChessMoveResult	-261	0x-105	FailureAttackingOwnPiece	hex (power-of-two)
ChessMoveResult	-260	0x-104	FailureMovedPieceOffBoard	hex (power-of-two)
ChessMoveResult	-259	0x-103	FailureMovingOpponentPiece	hex (power-of-two)
ChessMoveResult	-258	0x-102	FailureMovingEmptySquare	hex (power-of-two)
ChessMoveResult	-257	0x-101	FailureInvalidDistance	hex (power-of-two)
ChessMoveResult	-256	0x-100	FailureInvalidDirection	hex (power-of-two)
ChessMoveResult	-3	0x-3	FailureNotYourTurn	hex (power-of-two)
ChessMoveResult	0	0x0	FailureInvalidMove	hex (power-of-two)
ChessMoveResult	1	0x1	Success	hex (power-of-two)
ChessMoveResult	1024	0x400	OpponentInCheck	hex (power-of-two)
ChessMoveResult	2048	0x800	CheckMatedOpponent	hex (power-of-two)
CombatMode	1	0x1	NonCombat	hex
CombatMode	2	0x2	Melee	hex
CombatMode	4	0x4	Missle	hex
CombatMode	8	0x8	Magic	hex
CombatStyle	0	0x0	Undef	hex (mask attr)
CombatStyle	1	0x1	Unarmed	hex (mask attr)
CombatStyle	2	0x2	OneHanded	hex (mask attr)
CombatStyle	4	0x4	OneHandedAndShield	hex (mask attr)
CombatStyle	8	0x8	TwoHanded	hex (mask attr)
CombatStyle	16	0x10	Bow	hex (mask attr)
CombatStyle	32	0x20	Crossbow	hex (mask attr)
CombatStyle	64	0x40	Sling	hex (mask attr)
CombatStyle	128	0x80	ThrownWeapon	hex (mask attr)
CombatStyle	256	0x100	DualWield	hex (mask attr)
CombatStyle	512	0x200	Magic	hex (mask attr)
CombatStyle	1024	0x400	Atlatl	hex (mask attr)
CombatStyle	2048	0x800	ThrownShield	hex (mask attr)
CombatStyle	4096	0x1000	Reserved1	hex (mask attr)
CombatStyle	8192	0x2000	Reserved2	hex (mask attr)
CombatStyle	16384	0x4000	Reserved3	hex (mask attr)
CombatStyle	32768	0x8000	Reserved4	hex (mask attr)
CombatStyle	65536	0x10000	StubbornMagic	hex (mask attr)
CombatStyle	131072	0x20000	StubbornProjectile	hex (mask attr)
CombatStyle	262144	0x40000	StubbornMelee	hex (mask attr)
CombatStyle	524288	0x80000	StubbornMissile	hex (mask attr)
CombatUse	0	0x0	None	hex
CombatUse	1	0x1	Melee	hex
CombatUse	2	0x2	Missile	hex
CombatUse	3	0x3	Ammo	hex
CombatUse	4	0x4	Shield	hex
CombatUse	5	0x5	TwoHanded	hex
Command	0	0x0	Invalid	hex
Command	1	0x1	HoldRun	hex
Command	2	0x2	HoldSidestep	hex
Command	3	0x3	Ready	hex
Command	4	0x4	Stop	hex
Command	5	0x5	WalkForward	hex
Command	6	0x6	WalkBackwards	hex
Command	7	0x7	RunForward	hex
Command	8	0x8	Fallen	hex
Command	9	0x9	Interpolating	hex
Command	10	0xA	Hover	hex
Command	11	0xB	On	hex
Command	12	0xC	Off	hex
Command	13	0xD	TurnRight	hex
Command	14	0xE	TurnLeft	hex
Command	15	0xF	SideStepRight	hex
Command	16	0x10	SideStepLeft	hex
Command	17	0x11	Dead	hex
Command	18	0x12	Crouch	hex
Command	19	0x13	Sitting	hex
Command	20	0x14	Sleeping	hex
Command	21	0x15	Falling	hex
Command	22	0x16	Reload	hex
Command	23	0x17	Unload	hex
Command	24	0x18	Pickup	hex
Command	25	0x19	StoreInBackpack	hex
Command	26	0x1A	Eat	hex
Command	27	0x1B	Drink	hex
Command	28	0x1C	Reading	hex
Command	29	0x1D	JumpCharging	hex
Command	30	0x1E	AimLevel	hex
Command	31	0x1F	AimHigh15	hex
Command	32	0x20	AimHigh30	hex
Command	33	0x21	AimHigh45	hex
Command	34	0x22	AimHigh60	hex
Command	35	0x23	AimHigh75	hex
Command	36	0x24	AimHigh90	hex
Command	37	0x25	AimLow15	hex
Command	38	0x26	AimLow30	hex
Command	39	0x27	AimLow45	hex
Command	40	0x28	AimLow60	hex
Command	41	0x29	AimLow75	hex
Command	42	0x2A	AimLow90	hex
Command	43	0x2B	MagicBlast	hex
Command	44	0x2C	MagicSelfHead	hex
Command	45	0x2D	MagicSelfHeart	hex
Command	46	0x2E	MagicBonus	hex
Command	47	0x2F	MagicClap	hex
Command	48	0x30	MagicHarm	hex
Command	49	0x31	MagicHeal	hex
Command	50	0x32	MagicThrowMissile	hex
Command	51	0x33	MagicRecoilMissile	hex
Command	52	0x34	MagicPenalty	hex
Command	53	0x35	MagicTransfer	hex
Command	54	0x36	MagicVision	hex
Command	55	0x37	MagicEnchantItem	hex
Command	56	0x38	MagicPortal	hex
Command	57	0x39	MagicPray	hex
Command	58	0x3A	StopTurning	hex
Command	59	0x3B	Jump	hex
Command	60	0x3C	HandCombat	hex
Command	61	0x3D	NonCombat	hex
Command	62	0x3E	SwordCombat	hex
Command	63	0x3F	BowCombat	hex
Command	64	0x40	SwordShieldCombat	hex
Command	65	0x41	CrossbowCombat	hex
Command	66	0x42	UnusedCombat	hex
Command	67	0x43	SlingCombat	hex
Command	68	0x44	TwoHandedSwordCombat	hex
Command	69	0x45	TwoHandedStaffCombat	hex
Command	70	0x46	DualWieldCombat	hex
Command	71	0x47	ThrownWeaponCombat	hex
Command	72	0x48	Graze	hex
Command	73	0x49	Magi	hex
Command	74	0x4A	Hop	hex
Command	75	0x4B	Jumpup	hex
Command	76	0x4C	Cheer	hex
Command	77	0x4D	ChestBeat	hex
Command	78	0x4E	TippedLeft	hex
Command	79	0x4F	TippedRight	hex
Command	80	0x50	FallDown	hex
Command	81	0x51	Twitch1	hex
Command	82	0x52	Twitch2	hex
Command	83	0x53	Twitch3	hex
Command	84	0x54	Twitch4	hex
Command	85	0x55	StaggerBackward	hex
Command	86	0x56	StaggerForward	hex
Command	87	0x57	Sanctuary	hex
Command	88	0x58	ThrustMed	hex
Command	89	0x59	ThrustLow	hex
Command	90	0x5A	ThrustHigh	hex
Command	91	0x5B	SlashHigh	hex
Command	92	0x5C	SlashMed	hex
Command	93	0x5D	SlashLow	hex
Command	94	0x5E	BackhandHigh	hex
Command	95	0x5F	BackhandMed	hex
Command	96	0x60	BackhandLow	hex
Command	97	0x61	Shoot	hex
Command	98	0x62	AttackHigh1	hex
Command	99	0x63	AttackMed1	hex
Command	100	0x64	AttackLow1	hex
Command	101	0x65	AttackHigh2	hex
Command	102	0x66	AttackMed2	hex
Command	103	0x67	AttackLow2	hex
Command	104	0x68	AttackHigh3	hex
Command	105	0x69	AttackMed3	hex
Command	106	0x6A	AttackLow3	hex
Command	107	0x6B	HeadThrow	hex
Command	108	0x6C	FistSlam	hex
Command	109	0x6D	BreatheFlame_	hex
Command	110	0x6E	SpinAttack	hex
Command	111	0x6F	MagicPowerUp01	hex
Command	112	0x70	MagicPowerUp02	hex
Command	113	0x71	MagicPowerUp03	hex
Command	114	0x72	MagicPowerUp04	hex
Command	115	0x73	MagicPowerUp05	hex
Command	116	0x74	MagicPowerUp06	hex
Command	117	0x75	MagicPowerUp07	hex
Command	118	0x76	MagicPowerUp08	hex
Command	119	0x77	MagicPowerUp09	hex
Command	120	0x78	MagicPowerUp10	hex
Command	121	0x79	ShakeFist	hex
Command	122	0x7A	Beckon	hex
Command	123	0x7B	BeSeeingYou	hex
Command	124	0x7C	BlowKiss	hex
Command	125	0x7D	BowDeep	hex
Command	126	0x7E	ClapHands	hex
Command	127	0x7F	Cry	hex
Command	128	0x80	Laugh	hex
Command	129	0x81	MimeEat	hex
Command	130	0x82	MimeDrink	hex
Command	131	0x83	Nod	hex
Command	132	0x84	Point	hex
Command	133	0x85	ShakeHead	hex
Command	134	0x86	Shrug	hex
Command	135	0x87	Wave	hex
Command	136	0x88	Akimbo	hex
Command	137	0x89	HeartyLaugh	hex
Command	138	0x8A	Salute	hex
Command	139	0x8B	ScratchHead	hex
Command	140	0x8C	SmackHead	hex
Command	141	0x8D	TapFoot	hex
Command	142	0x8E	WaveHigh	hex
Command	143	0x8F	WaveLow	hex
Command	144	0x90	YawnStretch	hex
Command	145	0x91	Cringe	hex
Command	146	0x92	Kneel	hex
Command	147	0x93	Plead	hex
Command	148	0x94	Shiver	hex
Command	149	0x95	Shoo	hex
Command	150	0x96	Slouch	hex
Command	151	0x97	Spit	hex
Command	152	0x98	Surrender	hex
Command	153	0x99	Woah	hex
Command	154	0x9A	Winded	hex
Command	155	0x9B	YMCA	hex
Command	156	0x9C	EnterGame	hex
Command	157	0x9D	ExitGame	hex
Command	158	0x9E	OnCreation	hex
Command	159	0x9F	OnDestruction	hex
Command	160	0xA0	EnterPortal	hex
Command	161	0xA1	ExitPortal	hex
Command	162	0xA2	Cancel	hex
Command	163	0xA3	UseSelected	hex
Command	164	0xA4	AutosortSelected	hex
Command	165	0xA5	DropSelected	hex
Command	166	0xA6	GiveSelected	hex
Command	167	0xA7	SplitSelected	hex
Command	168	0xA8	ExamineSelected	hex
Command	169	0xA9	CreateShortcutToSelected	hex
Command	170	0xAA	PreviousCompassItem	hex
Command	171	0xAB	NextCompassItem	hex
Command	172	0xAC	ClosestCompassItem	hex
Command	173	0xAD	PreviousSelection	hex
Command	174	0xAE	LastAttacker	hex
Command	175	0xAF	PreviousFellow	hex
Command	176	0xB0	NextFellow	hex
Command	177	0xB1	ToggleCombat	hex
Command	178	0xB2	HighAttack	hex
Command	179	0xB3	MediumAttack	hex
Command	180	0xB4	LowAttack	hex
Command	181	0xB5	EnterChat	hex
Command	182	0xB6	ToggleChat	hex
Command	183	0xB7	SavePosition	hex
Command	184	0xB8	OptionsPanel	hex
Command	185	0xB9	ResetView	hex
Command	186	0xBA	CameraLeftRotate	hex
Command	187	0xBB	CameraRightRotate	hex
Command	188	0xBC	CameraRaise	hex
Command	189	0xBD	CameraLower	hex
Command	190	0xBE	CameraCloser	hex
Command	191	0xBF	CameraFarther	hex
Command	192	0xC0	FloorView	hex
Command	193	0xC1	MouseLook	hex
Command	194	0xC2	PreviousItem	hex
Command	195	0xC3	NextItem	hex
Command	196	0xC4	ClosestItem	hex
Command	197	0xC5	ShiftView	hex
Command	198	0xC6	MapView	hex
Command	199	0xC7	AutoRun	hex
Command	200	0xC8	DecreasePowerSetting	hex
Command	201	0xC9	IncreasePowerSetting	hex
Command	202	0xCA	Pray	hex
Command	203	0xCB	Mock	hex
Command	204	0xCC	Teapot	hex
Command	205	0xCD	SpecialAttack1	hex
Command	206	0xCE	SpecialAttack2	hex
Command	207	0xCF	SpecialAttack3	hex
Command	208	0xD0	MissileAttack1	hex
Command	209	0xD1	MissileAttack2	hex
Command	210	0xD2	MissileAttack3	hex
Command	211	0xD3	CastSpell	hex
Command	212	0xD4	Flatulence	hex
Command	213	0xD5	FirstPersonView	hex
Command	214	0xD6	AllegiancePanel	hex
Command	215	0xD7	FellowshipPanel	hex
Command	216	0xD8	SpellbookPanel	hex
Command	217	0xD9	SpellComponentsPanel	hex
Command	218	0xDA	HousePanel	hex
